Fri Jan 13 08:00:49 2023 -- Snapshot saved
Fri Jan 13 08:00:55 2023 -- Circle moved RIGHT
Fri Jan 13 08:00:57 2023 -- Circle moved RIGHT
Fri Jan 13 08:00:58 2023 -- Circle moved UP
Fri Jan 13 08:00:59 2023 -- Circle moved UP
Fri Jan 13 08:00:59 2023 -- Circle moved UP
Fri Jan 13 08:01:00 2023 -- Circle moved LEFT
Fri Jan 13 08:01:00 2023 -- Circle moved LEFT
Fri Jan 13 08:01:01 2023 -- Circle moved LEFT
Fri Jan 13 08:01:01 2023 -- Circle moved LEFT
Fri Jan 13 08:01:02 2023 -- Circle moved LEFT
Fri Jan 13 08:01:02 2023 -- Circle moved LEFT
Fri Jan 13 08:01:03 2023 -- Circle moved DOWN
Fri Jan 13 08:01:03 2023 -- Circle moved DOWN
Fri Jan 13 08:01:04 2023 -- Circle moved DOWN
Fri Jan 13 08:01:04 2023 -- Circle moved DOWN
Fri Jan 13 08:01:04 2023 -- Circle moved DOWN
Fri Jan 13 08:01:05 2023 -- Circle moved DOWN
Fri Jan 13 08:01:05 2023 -- Circle moved DOWN
Fri Jan 13 08:01:06 2023 -- Circle moved DOWN
Fri Jan 13 08:01:06 2023 -- Circle moved RIGHT
Fri Jan 13 08:01:06 2023 -- Circle moved RIGHT
Fri Jan 13 08:01:06 2023 -- Circle moved RIGHT
Fri Jan 13 08:01:07 2023 -- Circle moved RIGHT
Fri Jan 13 08:01:07 2023 -- Circle moved RIGHT
Fri Jan 13 08:01:07 2023 -- Circle moved RIGHT
Fri Jan 13 08:01:07 2023 -- Circle moved RIGHT
Fri Jan 13 08:01:07 2023 -- Circle moved RIGHT
Fri Jan 13 08:01:07 2023 -- Circle moved RIGHT
Fri Jan 13 08:01:07 2023 -- Circle moved RIGHT
Fri Jan 13 08:01:08 2023 -- Circle moved RIGHT
Fri Jan 13 08:01:08 2023 -- Circle moved UP
Fri Jan 13 08:01:08 2023 -- Circle moved UP
Fri Jan 13 08:01:08 2023 -- Circle moved RIGHT
Fri Jan 13 08:01:09 2023 -- Circle moved RIGHT
Fri Jan 13 08:01:09 2023 -- Circle moved RIGHT
Fri Jan 13 08:01:12 2023 -- Snapshot saved
Fri Jan 13 08:01:14 2023 -- Circle moved RIGHT
Fri Jan 13 08:01:14 2023 -- Circle moved RIGHT
Fri Jan 13 08:01:15 2023 -- Circle moved RIGHT
Fri Jan 13 08:01:15 2023 -- Circle moved RIGHT
Fri Jan 13 08:01:15 2023 -- Circle moved RIGHT
Fri Jan 13 08:01:17 2023 -- Circle moved UP
Fri Jan 13 08:01:17 2023 -- Circle moved RIGHT
Fri Jan 13 08:01:18 2023 -- Circle moved RIGHT
Fri Jan 13 08:01:18 2023 -- Circle moved RIGHT
Fri Jan 13 08:01:19 2023 -- Circle moved RIGHT
Fri Jan 13 08:01:19 2023 -- Circle moved RIGHT
Fri Jan 13 08:01:19 2023 -- Circle moved RIGHT
Fri Jan 13 08:01:20 2023 -- Circle moved RIGHT
Fri Jan 13 08:01:20 2023 -- Circle moved RIGHT
Fri Jan 13 08:01:20 2023 -- Circle moved RIGHT
Fri Jan 13 08:01:21 2023 -- Circle moved UP
Fri Jan 13 08:01:22 2023 -- Circle moved RIGHT
Fri Jan 13 08:01:22 2023 -- Circle moved RIGHT
Fri Jan 13 08:01:22 2023 -- Circle moved RIGHT
Fri Jan 13 08:01:23 2023 -- Circle moved RIGHT
Fri Jan 13 08:01:23 2023 -- Circle moved RIGHT
Fri Jan 13 08:01:24 2023 -- Circle moved RIGHT
Fri Jan 13 08:01:24 2023 -- Circle moved RIGHT
Fri Jan 13 08:01:24 2023 -- Circle moved RIGHT
Fri Jan 13 08:01:25 2023 -- Circle moved RIGHT
Fri Jan 13 08:01:27 2023 -- Circle moved RIGHT
Fri Jan 13 08:01:28 2023 -- Circle moved RIGHT
Fri Jan 13 08:01:30 2023 -- Snapshot saved
Fri Jan 13 08:01:36 2023 -- Circle moved UP
