Fri Jan 13 08:00:35 2023 -- Circle found centered at image coordinates: x = 930, y = 293
Fri Jan 13 08:00:55 2023 -- Circle found centered at image coordinates: x = 950, y = 294
Fri Jan 13 08:00:57 2023 -- Circle found centered at image coordinates: x = 970, y = 293
Fri Jan 13 08:00:58 2023 -- Circle found centered at image coordinates: x = 970, y = 273
Fri Jan 13 08:00:59 2023 -- Circle found centered at image coordinates: x = 970, y = 253
Fri Jan 13 08:00:59 2023 -- Circle found centered at image coordinates: x = 970, y = 233
Fri Jan 13 08:01:00 2023 -- Circle found centered at image coordinates: x = 950, y = 234
Fri Jan 13 08:01:00 2023 -- Circle found centered at image coordinates: x = 930, y = 233
Fri Jan 13 08:01:01 2023 -- Circle found centered at image coordinates: x = 910, y = 234
Fri Jan 13 08:01:01 2023 -- Circle found centered at image coordinates: x = 890, y = 233
Fri Jan 13 08:01:02 2023 -- Circle found centered at image coordinates: x = 870, y = 234
Fri Jan 13 08:01:02 2023 -- Circle found centered at image coordinates: x = 850, y = 233
Fri Jan 13 08:01:03 2023 -- Circle found centered at image coordinates: x = 850, y = 253
Fri Jan 13 08:01:03 2023 -- Circle found centered at image coordinates: x = 850, y = 273
Fri Jan 13 08:01:04 2023 -- Circle found centered at image coordinates: x = 850, y = 293
Fri Jan 13 08:01:04 2023 -- Circle found centered at image coordinates: x = 850, y = 313
Fri Jan 13 08:01:04 2023 -- Circle found centered at image coordinates: x = 850, y = 333
Fri Jan 13 08:01:05 2023 -- Circle found centered at image coordinates: x = 850, y = 353
Fri Jan 13 08:01:05 2023 -- Circle found centered at image coordinates: x = 850, y = 373
Fri Jan 13 08:01:06 2023 -- Circle found centered at image coordinates: x = 850, y = 393
Fri Jan 13 08:01:06 2023 -- Circle found centered at image coordinates: x = 870, y = 394
Fri Jan 13 08:01:06 2023 -- Circle found centered at image coordinates: x = 890, y = 393
Fri Jan 13 08:01:06 2023 -- Circle found centered at image coordinates: x = 910, y = 394
Fri Jan 13 08:01:07 2023 -- Circle found centered at image coordinates: x = 930, y = 393
Fri Jan 13 08:01:07 2023 -- Circle found centered at image coordinates: x = 950, y = 394
Fri Jan 13 08:01:07 2023 -- Circle found centered at image coordinates: x = 970, y = 393
Fri Jan 13 08:01:07 2023 -- Circle found centered at image coordinates: x = 990, y = 394
Fri Jan 13 08:01:07 2023 -- Circle found centered at image coordinates: x = 1010, y = 393
Fri Jan 13 08:01:07 2023 -- Circle found centered at image coordinates: x = 1030, y = 394
Fri Jan 13 08:01:07 2023 -- Circle found centered at image coordinates: x = 1050, y = 393
Fri Jan 13 08:01:08 2023 -- Circle found centered at image coordinates: x = 1070, y = 394
Fri Jan 13 08:01:08 2023 -- Circle found centered at image coordinates: x = 1070, y = 373
Fri Jan 13 08:01:08 2023 -- Circle found centered at image coordinates: x = 1070, y = 353
Fri Jan 13 08:01:09 2023 -- Circle found centered at image coordinates: x = 1090, y = 354
Fri Jan 13 08:01:09 2023 -- Circle found centered at image coordinates: x = 1110, y = 353
Fri Jan 13 08:01:09 2023 -- Circle found centered at image coordinates: x = 1130, y = 354
Fri Jan 13 08:01:14 2023 -- Circle found centered at image coordinates: x = 1150, y = 353
Fri Jan 13 08:01:15 2023 -- Circle found centered at image coordinates: x = 1170, y = 354
Fri Jan 13 08:01:15 2023 -- Circle found centered at image coordinates: x = 1190, y = 353
Fri Jan 13 08:01:15 2023 -- Circle found centered at image coordinates: x = 1210, y = 354
Fri Jan 13 08:01:16 2023 -- Circle found centered at image coordinates: x = 1230, y = 353
Fri Jan 13 08:01:17 2023 -- Circle found centered at image coordinates: x = 1230, y = 333
Fri Jan 13 08:01:17 2023 -- Circle found centered at image coordinates: x = 1250, y = 334
Fri Jan 13 08:01:18 2023 -- Circle found centered at image coordinates: x = 1270, y = 333
Fri Jan 13 08:01:18 2023 -- Circle found centered at image coordinates: x = 1290, y = 334
Fri Jan 13 08:01:19 2023 -- Circle found centered at image coordinates: x = 1310, y = 333
Fri Jan 13 08:01:19 2023 -- Circle found centered at image coordinates: x = 1330, y = 334
Fri Jan 13 08:01:19 2023 -- Circle found centered at image coordinates: x = 1350, y = 333
Fri Jan 13 08:01:20 2023 -- Circle found centered at image coordinates: x = 1370, y = 334
Fri Jan 13 08:01:20 2023 -- Circle found centered at image coordinates: x = 1390, y = 333
Fri Jan 13 08:01:20 2023 -- Circle found centered at image coordinates: x = 1410, y = 334
Fri Jan 13 08:01:21 2023 -- Circle found centered at image coordinates: x = 1410, y = 313
Fri Jan 13 08:01:22 2023 -- Circle found centered at image coordinates: x = 1430, y = 314
Fri Jan 13 08:01:22 2023 -- Circle found centered at image coordinates: x = 1450, y = 313
Fri Jan 13 08:01:22 2023 -- Circle found centered at image coordinates: x = 1470, y = 314
Fri Jan 13 08:01:23 2023 -- Circle found centered at image coordinates: x = 1490, y = 313
Fri Jan 13 08:01:23 2023 -- Circle found centered at image coordinates: x = 1510, y = 314
Fri Jan 13 08:01:24 2023 -- Circle found centered at image coordinates: x = 1530, y = 313
Fri Jan 13 08:01:24 2023 -- Circle found centered at image coordinates: x = 1550, y = 314
Fri Jan 13 08:01:24 2023 -- Circle found centered at image coordinates: x = 1570, y = 313
Fri Jan 13 08:01:25 2023 -- Circle found centered at image coordinates: x = 1590, y = 314
Fri Jan 13 08:01:27 2023 -- Circle found centered at image coordinates: x = 1590, y = 313
Fri Jan 13 08:01:28 2023 -- Circle found centered at image coordinates: x = 1590, y = 314
Fri Jan 13 08:01:36 2023 -- Circle found centered at image coordinates: x = 1590, y = 293
